"trade_date","segment","token","symbol","expirydate","insttype","optiontype","strikeprice","lotmultiple","lotsize","ticksize","name","series","divisor","exch","fullname","freeze_qty"
2026-07-01,F&O,35107,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35108,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35109,ADANIPOWER,"1469716200",OPTSTK,CE,17500,1.0,3550,1.0,ADANIPOWER26JUL175CE,XX,100,NSE,OPT ADANIPOWER 175.00 CE 2026-07-28,1800
2026-07-01,F&O,35110,ADANIPOWER,"1469716200",OPTSTK,PE,17500,1.0,3550,1.0,ADANIPOWER26JUL175PE,XX,100,NSE,OPT ADANIPOWER 175.00 PE 2026-07-28,1800
2026-07-01,F&O,35111,BANKNIFTY,"1469716200",OPTIDX,CE,3990000,1.0,30,5.0,BANKNIFTY26JUL39900CE,XX,100,NSE,OPT BANKNIFTY 39900.00 CE 2026-07-28,1800
2026-07-01,F&O,35112,BANKNIFTY,"1469716200",OPTIDX,PE,3990000,1.0,30,5.0,BANKNIFTY26JUL39900PE,XX,100,NSE,OPT BANKNIFTY 39900.00 PE 2026-07-28,1800
2026-07-01,F&O,35113,BANKNIFTY,"1472135400",OPTIDX,CE,3200000,1.0,30,5.0,BANKNIFTY26AUG32000CE,XX,100,NSE,OPT BANKNIFTY 32000.00 CE 2026-08-25,1800
2026-07-01,F&O,35114,BANKNIFTY,"1472135400",OPTIDX,PE,3200000,1.0,30,5.0,BANKNIFTY26AUG32000PE,XX,100,NSE,OPT BANKNIFTY 32000.00 PE 2026-08-25,1800
2026-07-01,F&O,35115,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35116,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35117,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35118,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35119,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35120,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35121,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35122,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35123,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35124,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35125,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35126,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35127,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35128,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35129,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35130,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35131,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35132,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35133,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35134,AMBER,"1469716200",OPTSTK,CE,560000,1.0,100,5.0,AMBER26JUL5600CE,XX,100,NSE,OPT AMBER 5600.00 CE 2026-07-28,1800
2026-07-01,F&O,35135,AMBER,"1469716200",OPTSTK,PE,560000,1.0,100,5.0,AMBER26JUL5600PE,XX,100,NSE,OPT AMBER 5600.00 PE 2026-07-28,1800
2026-07-01,F&O,35136,AMBER,"1469716200",OPTSTK,CE,620000,1.0,100,5.0,AMBER26JUL6200CE,XX,100,NSE,OPT AMBER 6200.00 CE 2026-07-28,1800
2026-07-01,F&O,35137,AMBER,"1469716200",OPTSTK,PE,620000,1.0,100,5.0,AMBER26JUL6200PE,XX,100,NSE,OPT AMBER 6200.00 PE 2026-07-28,1800
2026-07-01,F&O,35138,BANKNIFTY,"1472135400",OPTIDX,CE,3920000,1.0,30,5.0,BANKNIFTY26AUG39200CE,XX,100,NSE,OPT BANKNIFTY 39200.00 CE 2026-08-25,1800
2026-07-01,F&O,35139,BANKNIFTY,"1472135400",OPTIDX,PE,3920000,1.0,30,5.0,BANKNIFTY26AUG39200PE,XX,100,NSE,OPT BANKNIFTY 39200.00 PE 2026-08-25,1800
2026-07-01,F&O,35140,AMBUJACEM,"1469716200",OPTSTK,CE,33000,1.0,1200,5.0,AMBUJACEM26JUL330CE,XX,100,NSE,OPT AMBUJACEM 330.00 CE 2026-07-28,1800
2026-07-01,F&O,35141,AMBUJACEM,"1469716200",OPTSTK,PE,33000,1.0,1200,5.0,AMBUJACEM26JUL330PE,XX,100,NSE,OPT AMBUJACEM 330.00 PE 2026-07-28,1800
2026-07-01,F&O,35142,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35143,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35144,APOLLOHOSP,"1469716200",OPTSTK,CE,590000,1.0,125,5.0,APOLLOHOSP26JUL5900CE,XX,100,NSE,OPT APOLLOHOSP 5900.00 CE 2026-07-28,1800
2026-07-01,F&O,35145,APOLLOHOSP,"1469716200",OPTSTK,PE,590000,1.0,125,5.0,APOLLOHOSP26JUL5900PE,XX,100,NSE,OPT APOLLOHOSP 5900.00 PE 2026-07-28,1800
2026-07-01,F&O,35146,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35147,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35148,BANKNIFTY,"1472135400",OPTIDX,CE,3930000,1.0,30,5.0,BANKNIFTY26AUG39300CE,XX,100,NSE,OPT BANKNIFTY 39300.00 CE 2026-08-25,1800
2026-07-01,F&O,35149,BANKNIFTY,"1472135400",OPTIDX,PE,3930000,1.0,30,5.0,BANKNIFTY26AUG39300PE,XX,100,NSE,OPT BANKNIFTY 39300.00 PE 2026-08-25,1800
2026-07-01,F&O,35150,ASIANPAINT,"1469716200",OPTSTK,CE,172000,1.0,250,5.0,ASIANPAINT26JUL1720CE,XX,100,NSE,OPT ASIANPAINT 1720.00 CE 2026-07-28,1800
2026-07-01,F&O,35151,ASIANPAINT,"1469716200",OPTSTK,PE,172000,1.0,250,5.0,ASIANPAINT26JUL1720PE,XX,100,NSE,OPT ASIANPAINT 1720.00 PE 2026-07-28,1800
2026-07-01,F&O,35152,AUBANK,"1469716200",OPTSTK,CE,64000,1.0,1000,5.0,AUBANK26JUL640CE,XX,100,NSE,OPT AUBANK 640.00 CE 2026-07-28,1800
2026-07-01,F&O,35153,AUBANK,"1469716200",OPTSTK,PE,64000,1.0,1000,5.0,AUBANK26JUL640PE,XX,100,NSE,OPT AUBANK 640.00 PE 2026-07-28,1800
2026-07-01,F&O,35154,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35155,"","0","","",0,1.0,0,0.0,"",XX,100,NSE,FUT  1980-01-01,1800
2026-07-01,F&O,35156,BANKNIFTY,"1469716200",OPTIDX,CE,4010000,1.0,30,5.0,BANKNIFTY26JUL40100CE,XX,100,NSE,OPT BANKNIFTY 40100.00 CE 2026-07-28,1800
2026-07-01,F&O,35157,BANKNIFTY,"1469716200",OPTIDX,PE,4010000,1.0,30,5.0,BANKNIFTY26JUL40100PE,XX,100,NSE,OPT BANKNIFTY 40100.00 PE 2026-07-28,1800
2026-07-01,F&O,35158,BANKNIFTY,"1472135400",OPTIDX,CE,3940000,1.0,30,5.0,BANKNIFTY26AUG39400CE,XX,100,NSE,OPT BANKNIFTY 39400.00 CE 2026-08-25,1800
2026-07-01,F&O,35159,BANKNIFTY,"1472135400",OPTIDX,PE,3940000,1.0,30,5.0,BANKNIFTY26AUG39400PE,XX,100,NSE,OPT BANKNIFTY 39400.00 PE 2026-08-25,1800
2026-07-01,F&O,35160,BANKNIFTY,"1472135400",OPTIDX,CE,3960000,1.0,30,5.0,BANKNIFTY26AUG39600CE,XX,100,NSE,OPT BANKNIFTY 39600.00 CE 2026-08-25,1800
2026-07-01,F&O,35161,BANKNIFTY,"1472135400",OPTIDX,PE,3960000,1.0,30,5.0,BANKNIFTY26AUG39600PE,XX,100,NSE,OPT BANKNIFTY 39600.00 PE 2026-08-25,1800
2026-07-01,F&O,35162,BANKNIFTY,"1469716200",OPTIDX,CE,4020000,1.0,30,5.0,BANKNIFTY26JUL40200CE,XX,100,NSE,OPT BANKNIFTY 40200.00 CE 2026-07-28,1800
2026-07-01,F&O,35163,BANKNIFTY,"1469716200",OPTIDX,PE,4020000,1.0,30,5.0,BANKNIFTY26JUL40200PE,XX,100,NSE,OPT BANKNIFTY 40200.00 PE 2026-07-28,1800
