date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XIMC,PAGEIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,20,500,,0345-1000|1245-1345,1785232800000000000,NSE:PAGEIND26JULFUT,61263,PAGEIND,PAGEIND,0,,INR
20260713,XIMC,PATANJALI 28 Jul 26 FUT,FUTSTK,FUTURE,100,1075,5,,0345-1000|1245-1345,1785232800000000000,NSE:PATANJALI26JULFUT,61264,PATANJALI,PATANJALI,0,,INR
20260713,XIMC,PAYTM 28 Jul 26 FUT,FUTSTK,FUTURE,100,725,10,,0345-1000|1245-1345,1785232800000000000,NSE:PAYTM26JULFUT,61265,PAYTM,PAYTM,0,,INR
20260713,XIMC,PERSISTENT 28 Jul 26 FUT,FUTSTK,FUTURE,100,125,10,,0345-1000|1245-1345,1785232800000000000,NSE:PERSISTENT26JULFUT,61266,PERSISTENT,PERSISTENT,0,,INR
20260713,XIMC,PETRONET 28 Jul 26 FUT,FUTSTK,FUTURE,100,1900,5,,0345-1000|1245-1345,1785232800000000000,NSE:PETRONET26JULFUT,61267,PETRONET,PETRONET,0,,INR
20260713,XIMC,PFC 28 Jul 26 FUT,FUTSTK,FUTURE,100,1300,5,,0345-1000|1245-1345,1785232800000000000,NSE:PFC26JULFUT,61268,PFC,PFC,0,,INR
20260713,XIMC,PGEL 28 Jul 26 FUT,FUTSTK,FUTURE,100,950,5,,0345-1000|1245-1345,1785232800000000000,NSE:PGEL26JULFUT,61269,PGEL,PGEL,0,,INR
20260713,XIMC,PHOENIXLTD 28 Jul 26 FUT,FUTSTK,FUTURE,100,350,10,,0345-1000|1245-1345,1785232800000000000,NSE:PHOENIXLTD26JULFUT,61270,PHOENIXLTD,PHOENIXLTD,0,,INR
20260713,XIMC,PIDILITIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,500,10,,0345-1000|1245-1345,1785232800000000000,NSE:PIDILITIND26JULFUT,61272,PIDILITIND,PIDILITIND,0,,INR
20260713,XIMC,PIIND 28 Jul 26 FUT,FUTSTK,FUTURE,100,175,10,,0345-1000|1245-1345,1785232800000000000,NSE:PIIND26JULFUT,61273,PIIND,PIIND,0,,INR
20260713,XIMC,PNB 28 Jul 26 FUT,FUTSTK,FUTURE,100,8000,1,,0345-1000|1245-1345,1785232800000000000,NSE:PNB26JULFUT,61274,PNB,PNB,0,,INR
20260713,XIMC,PNBHOUSING 28 Jul 26 FUT,FUTSTK,FUTURE,100,650,10,,0345-1000|1245-1345,1785232800000000000,NSE:PNBHOUSING26JULFUT,61275,PNBHOUSING,PNBHOUSING,0,,INR
20260713,XIMC,POLICYBZR 28 Jul 26 FUT,FUTSTK,FUTURE,100,350,10,,0345-1000|1245-1345,1785232800000000000,NSE:POLICYBZR26JULFUT,61276,POLICYBZR,POLICYBZR,0,,INR
20260713,XIMC,POLYCAB 28 Jul 26 FUT,FUTSTK,FUTURE,100,125,50,,0345-1000|1245-1345,1785232800000000000,NSE:POLYCAB26JULFUT,61277,POLYCAB,POLYCAB,0,,INR
20260713,XIMC,POWERGRID 28 Jul 26 FUT,FUTSTK,FUTURE,100,1900,5,,0345-1000|1245-1345,1785232800000000000,NSE:POWERGRID26JULFUT,61278,POWERGRID,POWERGRID,0,,INR
20260713,XIMC,POWERINDIA 28 Jul 26 FUT,FUTSTK,FUTURE,100,25,500,,0345-1000|1245-1345,1785232800000000000,NSE:POWERINDIA26JULFUT,61279,POWERINDIA,POWERINDIA,0,,INR
20260713,XIMC,PREMIERENE 28 Jul 26 FUT,FUTSTK,FUTURE,100,650,10,,0345-1000|1245-1345,1785232800000000000,NSE:PREMIERENE26JULFUT,61280,PREMIERENE,PREMIERENE,0,,INR
20260713,XIMC,PRESTIGE 28 Jul 26 FUT,FUTSTK,FUTURE,100,450,10,,0345-1000|1245-1345,1785232800000000000,NSE:PRESTIGE26JULFUT,61281,PRESTIGE,PRESTIGE,0,,INR
