date,exchange,scriptDetails,scriptInstrumentType,scriptInstrumentType2,multiplier,lotSize,tickSize,ISIN,tradingSessionUTC,expiration,script,scriptToken,underlying_root,underlying,strike,optionType,currency
20260713,XNSE,SWIGGY LIMITED,EQ,EQUITY,100,1,1,INE00H001014,0330-0338|0345-1000|1245-1345,0,NSE:SWIGGY-EQ,27066,SWIGGY,SWIGGY,0,,INR
20260713,XNSE,TATA CONSUMER PRODUCT LTD,EQ,EQUITY,100,1,10,INE192A01025,0330-0338|0345-1000|1245-1345,0,NSE:TATACONSUM-EQ,3432,TATACONSUM,TATACONSUM,0,,INR
20260713,XNSE,TATA ELXSI LIMITED,EQ,EQUITY,100,1,10,INE670A01012,0330-0338|0345-1000|1245-1345,0,NSE:TATAELXSI-EQ,3411,TATAELXSI,TATAELXSI,0,,INR
20260713,XNSE,TATA POWER CO LTD,EQ,EQUITY,100,1,5,INE245A01021,0330-0338|0345-1000|1245-1345,0,NSE:TATAPOWER-EQ,3426,TATAPOWER,TATAPOWER,0,,INR
20260713,XNSE,TATA STEEL LIMITED,EQ,EQUITY,100,1,1,INE081A01020,0330-0338|0345-1000|1245-1345,0,NSE:TATASTEEL-EQ,3499,TATASTEEL,TATASTEEL,0,,INR
20260713,XNSE,TATA CONSULTANCY SERV LT,EQ,EQUITY,100,1,10,INE467B01029,0330-0338|0345-1000|1245-1345,0,NSE:TCS-EQ,11536,TCS,TCS,0,,INR
20260713,XNSE,TECH MAHINDRA LIMITED,EQ,EQUITY,100,1,10,INE669C01036,0330-0338|0345-1000|1245-1345,0,NSE:TECHM-EQ,13538,TECHM,TECHM,0,,INR
20260713,XNSE,TUBE INVEST OF INDIA LTD,EQ,EQUITY,100,1,10,INE974X01010,0330-0338|0345-1000|1245-1345,0,NSE:TIINDIA-EQ,312,TIINDIA,TIINDIA,0,,INR
20260713,XNSE,TITAN COMPANY LIMITED,EQ,EQUITY,100,1,10,INE280A01028,0330-0338|0345-1000|1245-1345,0,NSE:TITAN-EQ,3506,TITAN,TITAN,0,,INR
20260713,XNSE,TATA MOTORS PASS VEH LTD,EQ,EQUITY,100,1,5,INE155A01022,0330-0338|0345-1000|1245-1345,0,NSE:TMPV-EQ,3456,TMPV,TMPV,0,,INR
20260713,XNSE,TORRENT PHARMACEUTICALS L,EQ,EQUITY,100,1,10,INE685A01028,0330-0338|0345-1000|1245-1345,0,NSE:TORNTPHARM-EQ,3518,TORNTPHARM,TORNTPHARM,0,,INR
20260713,XNSE,TRENT LTD,EQ,EQUITY,100,1,10,INE849A01020,0330-0338|0345-1000|1245-1345,0,NSE:TRENT-EQ,1964,TRENT,TRENT,0,,INR
20260713,XNSE,TVS MOTOR COMPANY  LTD,EQ,EQUITY,100,1,10,INE494B01023,0330-0338|0345-1000|1245-1345,0,NSE:TVSMOTOR-EQ,8479,TVSMOTOR,TVSMOTOR,0,,INR
20260713,XNSE,ULTRATECH CEMENT LIMITED,EQ,EQUITY,100,1,100,INE481G01011,0330-0338|0345-1000|1245-1345,0,NSE:ULTRACEMCO-EQ,11532,ULTRACEMCO,ULTRACEMCO,0,,INR
20260713,XNSE,UNION BANK OF INDIA,EQ,EQUITY,100,1,1,INE692A01016,0330-0338|0345-1000|1245-1345,0,NSE:UNIONBANK-EQ,10753,UNIONBANK,UNIONBANK,0,,INR
20260713,XNSE,UNITED SPIRITS LIMITED,EQ,EQUITY,100,1,10,INE854D01024,0330-0338|0345-1000|1245-1345,0,NSE:UNITDSPR-EQ,10447,UNITDSPR,UNITDSPR,0,,INR
20260713,XNSE,UNO MINDA LIMITED,EQ,EQUITY,100,1,10,INE405E01023,0330-0338|0345-1000|1245-1345,0,NSE:UNOMINDA-EQ,14154,UNOMINDA,UNOMINDA,0,,INR
20260713,XNSE,UPL LIMITED,EQ,EQUITY,100,1,5,INE628A01036,0330-0338|0345-1000|1245-1345,0,NSE:UPL-EQ,11287,UPL,UPL,0,,INR
20260713,XNSE,VARUN BEVERAGES LIMITED,EQ,EQUITY,100,1,5,INE200M01039,0330-0338|0345-1000|1245-1345,0,NSE:VBL-EQ,18921,VBL,VBL,0,,INR
20260713,XNSE,VEDANTA LIMITED,EQ,EQUITY,100,1,5,INE205A01025,0330-0338|0345-1000|1245-1345,0,NSE:VEDL-EQ,3063,VEDL,VEDL,0,,INR
20260713,XNSE,VISHAL MEGA MART LIMITED,EQ,EQUITY,100,1,1,INE01EA01019,0330-0338|0345-1000|1245-1345,0,NSE:VMM-EQ,27969,VMM,VMM,0,,INR
20260713,XNSE,VOLTAS LTD,EQ,EQUITY,100,1,10,INE226A01021,0330-0338|0345-1000|1245-1345,0,NSE:VOLTAS-EQ,3718,VOLTAS,VOLTAS,0,,INR
20260713,XNSE,WAAREE ENERGIES LIMITED,EQ,EQUITY,100,1,10,INE377N01017,0330-0338|0345-1000|1245-1345,0,NSE:WAAREEENER-EQ,25907,WAAREEENER,WAAREEENER,0,,INR
20260713,XNSE,WIPRO LTD,EQ,EQUITY,100,1,1,INE075A01022,0330-0338|0345-1000|1245-1345,0,NSE:WIPRO-EQ,3787,WIPRO,WIPRO,0,,INR
20260713,XNSE,YES BANK LIMITED,EQ,EQUITY,100,1,1,INE528G01035,0330-0338|0345-1000|1245-1345,0,NSE:YESBANK-EQ,11915,YESBANK,YESBANK,0,,INR
20260713,XNSE,ZYDUS LIFESCIENCES LTD,EQ,EQUITY,100,1,10,INE010B01027,0330-0338|0345-1000|1245-1345,0,NSE:ZYDUSLIFE-EQ,7929,ZYDUSLIFE,ZYDUSLIFE,0,,INR
